country_code,state_code,state_name,page_name,cidx_total_case,cidx_total_death,cidx_total_recovery
USA,ME,Maine,"Template:2019–20_coronavirus_pandemic_data/United_States/Maine_medical_cases_chart",4,2,3
USA,MD,Maryland,"Template:2019–20_coronavirus_pandemic_data/United_States/Maryland_medical_cases_chart",4,2,3
USA,MA,Massachusetts,"Template:2019–20_coronavirus_pandemic_data/United_States/Massachusetts_medical_cases_chart",4,2,3
USA,MI,Michigan,"Template:2019–20_coronavirus_pandemic_data/United_States/Michigan_medical_cases_chart",4,2,3
USA,MN,Minnesota,"Template:2019–20_coronavirus_pandemic_data/United_States/Minnesota_medical_cases_chart",4,2,3
USA,MS,Mississippi,"Template:2019–20_coronavirus_pandemic_data/United_States/Mississippi_medical_cases_chart",4,2,3
USA,MO,Missouri,"Template:2019–20_coronavirus_pandemic_data/United_States/Missouri_medical_cases_chart",4,2,3
USA,MT,Montana,"Template:2019–20_coronavirus_pandemic_data/United_States/Montana_medical_cases_chart",4,2,3
USA,NE,Nebraska,"Template:2019–20_coronavirus_pandemic_data/United_States/Nebraska_medical_cases_chart",4,2,3
USA,NV,Nevada,"Template:2019–20_coronavirus_pandemic_data/United_States/Nevada_medical_cases_chart",4,2,3
USA,NH,New Hampshire,"Template:2019–20_coronavirus_pandemic_data/United_States/New_Hampshire_medical_cases_chart",4,2,3
USA,NJ,New Jersey,"Template:2019–20_coronavirus_pandemic_data/United_States/New_Jersey_medical_cases_chart",4,2,3
USA,NM,New Mexico,"Template:2019–20_coronavirus_pandemic_data/United_States/New_Mexico_medical_cases_chart",4,2,3
USA,NY,New York,"Template:2019–20_coronavirus_pandemic_data/United_States/New_York_medical_cases_chart",4,2,3
USA,NC,North Carolina,"Template:2019–20_coronavirus_pandemic_data/United_States/North_Carolina_medical_cases_chart",4,2,3
USA,ND,North Dakota,"Template:2019–20_coronavirus_pandemic_data/United_States/North_Dakota_medical_cases_chart",4,2,3
USA,OH,Ohio,"Template:2019–20_coronavirus_pandemic_data/United_States/Ohio_medical_cases_chart",4,2,3
USA,OK,Oklahoma,"Template:2019–20_coronavirus_pandemic_data/United_States/Oklahoma_medical_cases_chart",4,2,3
USA,OR,Oregon,"Template:2019–20_coronavirus_pandemic_data/United_States/Oregon_medical_cases_chart",4,2,3
USA,PA,Pennsylvania,"Template:2019–20_coronavirus_pandemic_data/United_States/Pennsylvania_medical_cases_chart",4,2,3
USA,PR,Puerto Rico,"Template:2019–20_coronavirus_pandemic_data/United_States/Puerto_Rico_medical_cases_chart",4,2,3
USA,RI,Rhode Island,"Template:2019–20_coronavirus_pandemic_data/United_States/Rhode_Island_medical_cases_chart",4,2,3
USA,SC,South Carolina,"Template:2019–20_coronavirus_pandemic_data/United_States/South_Carolina_medical_cases_chart",4,2,3
USA,SD,South Dakota,"Template:2019–20_coronavirus_pandemic_data/United_States/South_Dakota_medical_cases_chart",4,2,3
USA,TN,Tennessee,"Template:2019–20_coronavirus_pandemic_data/United_States/Tennessee_medical_cases_chart",4,2,3
USA,TX,Texas,"Template:2019–20_coronavirus_pandemic_data/United_States/Texas_medical_cases_chart",4,2,3
USA,UT,Utah,"Template:2019–20_coronavirus_pandemic_data/United_States/Utah_medical_cases_chart",4,2,3
USA,VT,Vermont,"Template:2019–20_coronavirus_pandemic_data/United_States/Vermont_medical_cases_chart",4,2,3
USA,VA,Virginia,"Template:2019–20_coronavirus_pandemic_data/United_States/Virginia_medical_cases_chart",4,2,3
USA,VI,Virgin Islands,"Template:2019–20_coronavirus_pandemic_data/United_States/Virgin_Islands_medical_cases_chart",4,2,3
USA,WA,Washington,"Template:2019–20_coronavirus_pandemic_data/United_States/Washington_medical_cases_chart",4,2,3
USA,WV,West Virginia,"Template:2019–20_coronavirus_pandemic_data/United_States/West_Virginia_medical_cases_chart",4,2,3
USA,WI,Wisconsin,"Template:2019–20_coronavirus_pandemic_data/United_States/Wisconsin_medical_cases_chart",4,2,3
USA,WY,Wyoming,"Template:2019–20_coronavirus_pandemic_data/United_States/Wyoming_medical_cases_chart",4,2,3
